Grand Prix,Driver,Car,Time,year,Code
Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,1950,FAR
Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,1950,FAN
Indianapolis 500,Johnnie Parsons ,Kurtis Kraft Offenhauser,,1950,PAR
Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,1950,FAR
Belgium,Nino  Farina ,Alfa Romeo,4:34.100,1950,FAR
France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,1950,FAN
Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,1950,FAN
Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,1951,FAN
Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,1951,WAL
Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,1951,FAN
France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,1951,FAN
Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,1951,FAR
Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,1951,FAN
Italy,Nino  Farina ,Alfa Romeo,1:56.500,1951,FAR
Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,1951,FAN
Switzerland,Piero Taruffi ,Ferrari,2:49.100,1952,TAR
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,1952,VUK
Belgium,Alberto  Ascari ,Ferrari,4:55.000,1952,ASC
France,Alberto  Ascari ,Ferrari,2:17.300,1952,ASC
Great Britain,Alberto  Ascari ,Ferrari,1:52.000,1952,ASC
Germany,Alberto  Ascari ,Ferrari,10:05.100,1952,ASC
Netherlands,Alberto  Ascari ,Ferrari,1:49.800,1952,ASC
Italy,Alberto  Ascari ,Ferrari,2:06.100,1952,ASC
Argentina,Alberto  Ascari ,Ferrari,1:48.400,1953,ASC
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,1953,VUK
Netherlands,Luigi Villoresi ,Ferrari,1:52.800,1953,VIL
Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,1953,GON
France,Juan Manuel  Fangio ,Maserati,2:41.100,1953,FAN
Great Britain,Alberto  Ascari ,Ferrari,1:50.000,1953,ASC
Germany,Alberto  Ascari ,Ferrari,9:56.000,1953,ASC
Switzerland,Alberto  Ascari ,Ferrari,2:41.300,1953,ASC
Italy,Juan Manuel  Fangio ,Maserati,2:04.500,1953,FAN
Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,1954,GON
Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,1954,MCG
Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,1954,FAN
France,Hans Herrmann ,Mercedes-Benz,2:32.900,1954,HER
Great Britain,Alberto  Ascari ,Maserati,1:50.000,1954,ASC
Germany,Karl  Kling ,Mercedes-Benz,9:55.100,1954,KLI
Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,1954,FAN
Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,1954,GON
Spain,Alberto  Ascari ,Lancia,2:20.400,1954,ASC
Argentina,Juan Manuel  Fangio ,Mercedes-Benz,1:48.300,1955,FAN
Monaco,Juan Manuel  Fangio ,Mercedes-Benz,1:42.400,1955,FAN
