Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
5,Pokemon RedPokemon Blue,GB,1996,Role Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon GoldPokemon Silver,GB,1999,Role Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
16,Kinect Adventures,XThreeSixZero,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PSThree,2013,Action,TakeTwo Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto San Andreas,PSTow,2004,Action,TakeTwo Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon DiamondPokemon Pearl,DS,2006,Role Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros Three,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
25,Grand Theft Auto Vice City,PSTow,2002,Action,TakeTwo Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon RubyPokemon Sapphire,GBA,2002,Role Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon BlackPokemon White,DS,2010,Role Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age Two More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo Three ASpec,PSTow,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty Modern Warfare Three,XThreeSixZero,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokmon Yellow Special Pikachu Edition,GB,1998,Role Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty Black Ops,XThreeSixZero,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon XPokemon Y,ThreeDS,2013,Role Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty Black Ops Three,PSFour,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty Black Ops II,PSThree,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
37,Call of Duty Modern Warfare Two,XThreeSixZero,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
39,Grand Theft Auto III,PSTow,2001,Action,TakeTwo Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
42,Animal Crossing Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart Seven,ThreeDS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo Three,XThreeSixZero,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
46,Pokemon HeartGoldPokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario SixFour,NSixFour,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo Four,PSTow,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega RubyPokemon Alpha Sapphire,ThreeDS,2014,Role Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land Two Six Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,XThreeSixZero,2008,Action,TakeTwo Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario ThreeD Land,ThreeDS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo Five,PSThree,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
58,Super Mario AllStars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRedPokemon LeafGreen,GBA,2004,Role Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
61,Just Dance Three,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
62,Call of Duty Ghosts,XThreeSixZero,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo Reach,XThreeSixZero,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart SixFour,NSixFour,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros Two,ThreeDS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo Four,XThreeSixZero,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,PS,1997,Role Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
69,Just Dance Two,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo Two,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty Four Modern Warfare,XThreeSixZero,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
73,Minecraft,XThreeSixZero,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing New Leaf,ThreeDS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V Skyrim,XThreeSixZero,2011,Role Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA OneSix,PSFour,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo Two,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party Eight,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black TwoPokemon White Two,DS,2012,Role Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer OneThree,PSThree,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims Three,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
85,GoldenEye ZeroZeroSeven,NSixFour,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario  Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,PSTow,2001,Role Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,PS,1999,Role Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokmon Platinum Version,DS,2008,Role Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,PacMan,TowSixZeroZero,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
91,Grand Theft Auto Liberty City Stories,PSP,2005,Action,TakeTwo Interactive,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy Two,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront TwoZeroOneFive,PSFour,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty Advanced Warfare,PSFour,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda Ocarina of Time,NSixFour,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot Two Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros Two,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros for Wii U and ThreeDS,ThreeDS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Call of Duty World at War,XThreeSixZero,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
100,Battlefield Three,XThreeSixZero,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
105,Need for Speed Underground,PSTow,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,Tekken Three,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot Three Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario Kart Eight,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout Four,PSFour,2015,Role Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart Double Dash,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Just Dance Four,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
113,FIFA OneFour,PSThree,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground Two,PSTow,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor Frontline,PSTow,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted Three Drakes Deception,PSThree,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,Wii,2010,Sports,FiveZeroFive Games,3.5,2.64,0.0,0.67,6.81
119,Gears of War Two,XThreeSixZero,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted Two Among Thieves,PSThree,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
122,FIFA OneTwo,PSThree,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,PSThree,2010,Action,TakeTwo Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA OneFive,PSFour,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassins Creed III,PSThree,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,Pokmon Emerald Version,GBA,2004,Role Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,PSTow,2002,Role Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokmon Crystal Version,GB,2000,Role Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo Three ODST,XThreeSixZero,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,PC,2004,Role Playing,Activision,0.07,6.21,0.0,0.0,6.28
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,XThreeSixZero,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War Three,XThreeSixZero,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,XThreeSixZero,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid Two Sons of Liberty,PSTow,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog Two,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid Four Guns of the Patriots,PSThree,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,PSThree,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,PSTow,2006,Role Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
149,LittleBigPlanet,PSThree,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX Sentinels of the Starry Skies,DS,2009,Role Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
152,Resident Evil Two,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken Two,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,DS,2006,Simulation,FiveZeroFive Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,PSFour,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
157,Assassins Creed II,PSThree,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros,NSixFour,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassins Creed,XThreeSixZero,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman Arkham City,PSThree,2011,Action,Warner Bros Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport Three,XThreeSixZero,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,PSP,2008,Role Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
166,Pokemon Stadium,NSixFour,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
168,Crash Bandicoot The Wrath of Cortex,PSTow,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
170,Final Fantasy XIII,PSThree,2009,Role Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Dr Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
174,Final Fantasy IX,PS,2000,Role Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy XTwo,PSTow,2003,Role Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong SixFour,NSixFour,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL TwoZeroZeroFour,PSTow,0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII Journey of the Cursed King,PSTow,2004,Role Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,Diablo III,PC,2012,Role Playing,Activision,2.43,2.15,0.0,0.62,5.2
184,New Super Mario Bros U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land Three Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
187,The Legend of Zelda Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country Two Diddys Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,ThreeDS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
191,Medal of Honor Rising Sun,PSTow,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,Kirbys Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable III,XThreeSixZero,2010,Role Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
196,Guitar Hero II,PSTow,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
197,Resident Evil Five,PSThree,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
199,Grand Theft Auto Vice City Stories,PSP,2006,Action,TakeTwo Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer OneOne,PSThree,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawks Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
205,Warzone TwoOneZeroZero,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
207,Links Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
208,Guitar Hero III Legends of Rock,PSTow,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,Fallout Three,XThreeSixZero,2008,Role Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon Explorers of TimeExplorers of Darkness,DS,2007,Role Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,Uncharted Drakes Fortune,PSThree,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden NFL ZeroSix,PSTow,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
214,Diddy Kong Racing,NSixFour,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom Three,PSP,2010,Role Playing,Capcom,0.0,0.0,4.87,0.0,4.87
217,God of War III,PSThree,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA OneSeven,PSFour,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
224,Driver Two,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,The Simpsons Hit  Run,PSTow,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7
226,Tony Hawks Pro Skater Two,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings The Two Towers,PSTow,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport Four,XThreeSixZero,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
232,The Legend of Zelda A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,Mario  Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,Luigis Mansion Dark Moon,ThreeDS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
239,Madden NFL TwoZeroZeroFive,PSTow,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
240,Pitfall,TowSixZeroZero,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
241,Madden NFL ZeroSeven,PSTow,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,SpiderMan The Movie,PSTow,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII Warriors of Eden,PS,2000,Role Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted The Nathan Drake Collection,PSFour,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
246,God of War,PSTow,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,Tony Hawks Pro Skater Three,PSTow,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven Pro Evolution Soccer TwoZeroZeroSeven,PSTow,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
